type,degree,element_size,nelem_per_wavelength,l2_fe,l2_ba,l2_fe_arr,l2_ba_arr
Default,1,3.743191170279768e-05,8,493,1.3771572032940698,0.055353693062060456,1.3771731269038683,0.055323032733943525
Default,1,1.8734995480952655e-05,16,984,1.2037937228160833,0.01400773437698095,1.2043770967948744,0.014022028305639441
Default,1,9.372264914898962e-06,32,1966,0.35331587236162554,0.003514383549068397,0.3516096332113053,0.003533822280614767
Default,1,4.6873251610528024e-06,64,3930,0.08962492987041146,0.0008795997793421873,0.08797574440689067,0.0008997243721687122
Default,1,2.3436625805264012e-06,128,7859,0.022443222146885447,0.0002199347562234361,0.021584211199735706,0.00023764143437780052
Default,1,1.1718312902632006e-06,256,15717,0.005612531860862088,5.498586449596978e-05,0.005150350093726665,3.774126757071809e-05
Default,2,7.486382340559537e-05,4,493,0.7633343638084371,0.021443590945386854,0.7636318200361967,0.021431995225181244
Default,2,3.743191170279768e-05,8,985,0.05586712685061305,0.0027502846046357898,0.05582281813090902,0.002750345633047699
Default,2,1.8734995480952655e-05,16,1967,0.0036087736301368646,0.00034696476334256863,0.0036044637564810636,0.0003473927674970117
Default,2,9.372264914898962e-06,32,3931,0.00023058114309918148,4.350937393414161e-05,0.0002295418329553753,4.3749571483222714e-05
Default,2,4.6873251610528024e-06,64,7859,1.525502329488195e-05,5.444898030253301e-06,1.51923438964603e-05,5.558579775097857e-06
Default,2,2.3436625805264012e-06,128,15717,1.1655033097501596e-06,6.80663976790152e-07,1.2441031637152147e-06,6.852772145189919e-07
Default,3,0.00014972764681119073,2,370,0.9887824832529125,0.014339011301755307,0.9888666239142125,0.014279887971090336
Default,3,7.486382340559537e-05,4,739,0.012319010025013826,0.001879867746349935,0.01231793593277786,0.0018792654310260113
Default,3,3.743191170279768e-05,8,1477,0.00039650563274344484,0.00011987790671845168,0.00039641643987198895,0.0001198834533711315
Default,3,1.8734995480952655e-05,16,2950,8.762352375519312e-05,7.560667774291042e-06,8.772593779916896e-05,7.570878283463108e-06
Default,3,9.372264914898962e-06,32,5896,2.0422464475057952e-05,4.7409765188129923e-07,2.051233054520063e-05,4.766936806084836e-07
Default,3,4.6873251610528024e-06,64,11788,2.6346584221768318e-06,2.967057693688736e-08,2.592689015043214e-06,3.009558132658012e-08
Default,4,0.00014972764681119073,2,493,0.06376027479342881,0.005320686793808071,0.06381338868276755,0.005320225881786667
Default,4,7.486382340559537e-05,4,985,0.0009953093253287839,0.00014521944442830496,0.0009951012520911652,0.00014518003731416875
Default,4,3.743191170279768e-05,8,1969,7.821746776584979e-05,4.611729834479777e-06,7.818995185098154e-05,4.612830764685746e-06
Default,4,1.8734995480952655e-05,16,3933,1.700783367187328e-05,1.4542596932684512e-07,1.7005672012093773e-05,1.4561664431502863e-07
Default,4,9.372264914898962e-06,32,7861,4.811732022230672e-06,4.560586070927155e-09,4.782155887833207e-06,4.583865933000891e-09
Default,4,4.6873251610528024e-06,64,15717,2.400186944881145e-06,1.4273615600319837e-10,2.4091406988633747e-06,1.4287610816790841e-10
GLL,2,7.486382340559537e-05,4,493,0.5166821659398932,0.021443104544402444,0.5164448222390263,0.021431503132755214
GLL,2,3.743191170279768e-05,8,985,0.031033344615079984,0.0027502811951621194,0.0310231281229359,0.0027496563244121114
GLL,2,1.8734995480952655e-05,16,1967,0.0019441028949785993,0.00034696473748335434,0.0019428636272713234,0.0003473585987394371
GLL,2,9.372264914898962e-06,32,3931,0.00012826103725520986,4.350937373306094e-05,0.00012811913650496082,4.374535741931987e-05
GLL,2,4.6873251610528024e-06,64,7859,9.940106634736663e-06,5.444898028729102e-06,9.94698612814942e-06,5.558147088170235e-06
GLL,2,2.3436625805264012e-06,128,15717,1.2236514093118778e-06,6.806639769634831e-07,1.1900878613136084e-06,6.849595762254823e-07
GLL,3,0.00014972764681119073,2,370,0.8574797955844974,0.013971497296830619,0.8576004438122957,0.013953460974004699
GLL,3,7.486382340559537e-05,4,739,0.009046779447311516,0.0019529175236588266,0.009046752546479773,0.0019522913974732922
GLL,3,3.743191170279768e-05,8,1477,0.0005900070758163815,0.00012457015676272206,0.0005900347188202153,0.00012455066877070574
GLL,3,1.8734995480952655e-05,16,2950,0.00012990482978682573,7.857110915152127e-06,0.00012976823597978356,7.867708541065608e-06
GLL,3,9.372264914898962e-06,32,5896,2.9188054234795185e-05,4.926941429277531e-07,2.9037033644259287e-05,4.954268917692985e-07
GLL,3,4.6873251610528024e-06,64,11788,4.28524066883753e-06,3.0834528011470334e-08,4.190525793332611e-06,3.135535221797319e-08
GLL,4,0.00014972764681119073,2,493,0.11921999996332054,0.005462375135499351,0.11924254901755665,0.005459770760019768
GLL,4,7.486382340559537e-05,4,985,0.0012189114144076723,0.00014832785230171813,0.0012188081668865899,0.0001482884994629202
GLL,4,3.743191170279768e-05,8,1969,0.00010762513687520017,4.713211543740611e-06,0.00010762471073080433,4.714023046752799e-06
GLL,4,1.8734995480952655e-05,16,3933,3.586240738772651e-05,1.4864761554168125e-07,3.587407707838067e-05,1.4884470746355152e-07
GLL,4,9.372264914898962e-06,32,7861,1.3318689242891427e-05,4.661784931549867e-09,1.3305959264567362e-05,4.687505411267862e-09
GLL,4,4.6873251610528024e-06,64,15717,3.694006798296076e-06,1.459041902124585e-10,3.6348117124194126e-06,1.4772886118385596e-10
