type,degree,nelem_per_wavelength,element_size,dofs,l2_fe,l2_ba
Default,1,8,5.293671719564866e-05,243049,1.4041320362989658,0.05535325154605955
Default,1,16,2.6495284700161893e-05,968256,1.5861345633445292,0.014007714680065321
Default,1,32,1.3254384152803633e-05,3865156,0.3533041747419984,0.003514382768632321
Default,1,64,6.628878814013525e-06,15444900,
Default,2,4,0.00010587343439129731,243049,0.7295943863987352,0.021453352750513306
Default,2,8,5.293671719564866e-05,970225,0.05368695971060182,0.002750156384410012
Default,2,16,2.6495284700161893e-05,3869089,0.0034713000483484755,0.0003470365068561076
Default,3,2,0.00021174686878259463,136900,0.9700225876736206,0.01927468060325103
Default,3,4,0.00010587343439129731,546121,0.010945313839701947,0.001879867328016092
Default,3,8,5.293671719564866e-05,2181529,0.00035240297701596773,0.00011987790150895277
Default,3,16,2.6495284700161893e-05,8702500,
Default,4,2,0.00021174686878259463,243049,0.06484937632170457,0.005375168220368684
Default,4,4,0.00010587343439129731,970225,0.0011343170727900033,0.00014523060685468157
Default,4,8,5.293671719564866e-05,3876961,0.0008963512266184884,4.612024000661668e-06
Default,4,16,
Default,4,32,
GLL,2,4,0.00010587343439129731,243049,0.5405960891191817,0.021452867205344953
GLL,2,8,5.293671719564866e-05,970225,0.033201328990963765,0.002750152974357304
GLL,2,16,2.6495284700161893e-05,3869089,0.0020790292747519196,0.00034703648102136033
GLL,2,32,1.3254384152803633e-05,15452761,
GLL,3,2,0.00021174686878259463,136900,0.7971529299158517,0.021369686494032942
