type,degree,element_size,nelem_per_wavelength,l2_fe,l2_ba,l2_fe_arr,l2_ba_arr
Default,1,3.743191170279768e-05,8,493,1.3769235503530972,0.1067018780912631,1.377768730601445,0.10653187426388369
Default,1,1.8734995480952655e-05,16,984,1.193739436828681,0.04416443913264601,1.192618954461824,0.044065924477094745
Default,1,9.372264914898962e-06,32,1966,0.48045817164710997,0.013500297520613212,0.48136856735762784,0.01360500755203705
Default,1,4.6873251610528024e-06,64,3930,0.20945612915371334,0.0032095715045819613,0.208674150584808,0.0032792409551657747
Default,1,2.3436625805264012e-06,128,7859,0.08755931682551471,0.0009183468073127679,0.08695070214393077,0.000995780278599068
Default,1,1.1718312902632006e-06,256,15717,0.034600783080563684,0.0002330279862992095,0.03378926400355501,0.0001712862572732881
Default,2,7.486382340559537e-05,4,493,0.7911001239484422,0.13084532058834392,0.792069373370298,0.13029802334585622
Default,2,3.743191170279768e-05,8,985,0.25943045181131236,0.026124256235051203,0.25968155748775346,0.026019424553798402
Default,2,1.8734995480952655e-05,16,1967,0.09145584728592189,0.004868083681549015,0.09156538475234434,0.004774184574566748
Default,2,9.372264914898962e-06,32,3931,0.03225053608505742,0.002202727350652226,0.03226631828243909,0.0021927924369502553
Default,2,4.6873251610528024e-06,64,7859,0.010298966007340524,0.00044314068426345635,0.010202034816839447,0.00045428285771454297
Default,2,2.3436625805264012e-06,128,15717,0.0027816630743617505,5.532622836451559e-05,0.0027961896096587533,5.719067679262345e-05
Default,3,0.00014972764681119073,2,370,1.0372723123069287,0.16738931265116633,1.0374291116510848,0.16734452642904826
Default,3,7.486382340559537e-05,4,739,0.3767318910631113,0.06497327549878254,0.3767615376252257,0.0649528953082422
Default,3,3.743191170279768e-05,8,1477,0.07521519673353687,0.00977769456253968,0.075262253913133,0.009685410460316384
Default,3,1.8734995480952655e-05,16,2950,0.035698018104314805,0.003596906686546257,0.03567884142604067,0.003446262661619481
Default,3,9.372264914898962e-06,32,5896,0.010744726881337773,0.0008316022556763904,0.010746110194201453,0.000840333832096052
Default,3,4.6873251610528024e-06,64,11788,0.002076907508846818,6.633872657248507e-05,0.002025925152765079,6.665221010381885e-05
Default,4,0.00014972764681119073,2,493,0.24088381956113766,0.11969570523111568,0.24013872788615756,0.11861891036849935
Default,4,7.486382340559537e-05,4,985,0.11219198574046847,0.057372099438424314,0.11192431997096153,0.056028500461383204
Default,4,3.743191170279768e-05,8,1969,0.035022161801371174,0.004079834646053361,0.03502440426682457,0.004018517984161014
Default,4,1.8734995480952655e-05,16,3933,0.010777925329498355,0.0026773524838895435,0.010795778581831774,0.002610314604816535
Default,4,9.372264914898962e-06,32,7861,0.002895133528649754,0.00028250658225912017,0.0028946520846642528,0.00028238903517501754
Default,4,4.6873251610528024e-06,64,15717,0.0009568599174115749,1.1235481331851963e-05,0.0009565289508774719,1.1361212456498702e-05
GLL,2,7.486382340559537e-05,4,493,0.5645253174045556,0.13170911082231004,0.5645904139360438,0.13172976382106621
GLL,2,3.743191170279768e-05,8,985,0.20324098778984417,0.02555931547219953,0.20326421402539532,0.025417163843601532
GLL,2,1.8734995480952655e-05,16,1967,0.07551720589018113,0.005204960075300656,0.07561822886136162,0.00512514520683875
GLL,2,9.372264914898962e-06,32,3931,0.026359617626429493,0.0021489787741801884,0.026402877781563118,0.002141585523740135
GLL,2,4.6873251610528024e-06,64,7859,0.008228970418791387,0.0004431046370603085,0.008152097551219685,0.0004542013040175968
GLL,2,2.3436625805264012e-06,128,15717,0.0022272612089518007,5.532463146663972e-05,0.0022319406556541477,5.71892732535807e-05
GLL,3,0.00014972764681119073,2,370,0.8639510467683343,0.20601735830783727,0.8640332313889187,0.20596087859004023
GLL,3,7.486382340559537e-05,4,739,0.291159814923068,0.047853230901611546,0.29127658387970023,0.04785434443626175
GLL,3,3.743191170279768e-05,8,1477,0.0727184451570723,0.009912571512987535,0.07277106042903722,0.009798878194936439
GLL,3,1.8734995480952655e-05,16,2950,0.025584133481308745,0.002714618106202678,0.02561292237333711,0.0026234748805324935
GLL,3,9.372264914898962e-06,32,5896,0.007235718826094512,0.0008860359470780773,0.0072423502497461125,0.0008939408734077175
GLL,3,4.6873251610528024e-06,64,11788,0.0017093823079736197,6.856996540114317e-05,0.001724543396738326,6.92829101598595e-05
GLL,4,0.00014972764681119073,2,493,0.284032602717164,0.09622211839191457,0.28421715969086375,0.0962747931450409
GLL,4,7.486382340559537e-05,4,985,0.0957185534483924,0.05221378903633257,0.095713325871013,0.05223059281068283
GLL,4,3.743191170279768e-05,8,1969,0.033526910027949566,0.0035881871778528115,0.03353556678285163,0.0035750098790009997
GLL,4,1.8734995480952655e-05,16,3933,0.01125439638335903,0.0017166162448999825,0.011274226595139963,0.0017035175737715915
GLL,4,9.372264914898962e-06,32,7861,0.003235591566108132,0.00027420962446082124,0.003248700575696932,0.0002750964046909304
GLL,4,4.6873251610528024e-06,64,15717,0.0010605385501969977,1.1310362350812863e-05,0.00106004560611443,1.151435315720265e-05
